2020-07-11 19:39:11.667 [main] INFO  com.asiainfo.walk.webdemo.BootRun - Starting BootRun on DESKTOP-U20H2GV with PID 21204 (F:\internship\workspace\gongda\code\saleweb\bin started by 75517 in F:\internship\workspace\gongda\code\saleweb)
2020-07-11 19:39:11.671 [main] INFO  com.asiainfo.walk.webdemo.BootRun - The following profiles are active: dev
2020-07-11 19:39:11.675 [main] INFO  o.s.context.support.ClassPathXmlApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@452e19ca: startup date [Sat Jul 11 19:39:11 CST 2020]; root of context hierarchy
2020-07-11 19:39:11.690 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-enhance.xml]
2020-07-11 19:39:11.910 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.6.Final
2020-07-11 19:39:12.296 [main] INFO  o.w.b.system.translate.enhance.TranslatorEnhancer - enhance classFile[/F:/internship/workspace/gongda/code/saleweb/bin/com/asiainfo/walk/webdemo/mvc/entity/ext/TdMUserExt.class] success!
2020-07-11 19:39:12.305 [main] INFO  o.w.b.system.translate.enhance.TranslatorEnhancer - enhance classFile[/F:/internship/workspace/gongda/code/saleweb/bin/com/asiainfo/walk/webdemo/mvc/entity/ext/TfBRewardRuleExt.class] success!
2020-07-11 19:39:12.367 [main] INFO  o.w.b.c.WalkConfigEmbeddedWebApplicationContext - Refreshing org.walkframework.boot.context.WalkConfigEmbeddedWebApplicationContext@4c163e3: startup date [Sat Jul 11 19:39:12 CST 2020]; root of context hierarchy
2020-07-11 19:39:12.819 [main] INFO  o.s.b.factory.support.DefaultListableBeanFactory - Overriding bean definition for bean 'tomcatEmbeddedServletContainerFactory' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.EmbeddedServletContainerAutoConfiguration$EmbeddedTomcat; factoryMethodName=tomcatEmbeddedServletContainerFactory; initMethodName=null; destroyMethodName=(inferred); defined in org.springframework.boot.autoconfigure.web.EmbeddedServletContainerAutoConfiguration$EmbeddedTomcat] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=walkApplicationConfiguration; factoryMethodName=tomcatEmbeddedServletContainerFactory; initMethodName=null; destroyMethodName=(inferred); defined in org.walkframework.boot.WalkApplicationConfiguration]
2020-07-11 19:39:12.914 [main] INFO  o.w.boot.reader.BootXmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-config.xml]
2020-07-11 19:39:13.007 [main] INFO  o.w.boot.reader.BootXmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/cache/spring-ehcache.xml]
